Ref,Val,Package,PosX,PosY,Rot,Side
C1,10nf,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.05,-114.3,0,top
C2,27pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.589,-107.315,90,top
C3,27pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.589,-112.395,270,top
C4,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.516646,-101.6,270,top
C5,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.224775,-112.395,180,top
C6,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,157.48,-108.114048,270,top
C7,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.385823,-101.6,270,top
C8,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.516646,-96.777543,90,top
C9,4.7u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.224775,-110.112543,180,top
C10,4.7u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,160.02,-108.114048,270,top
C11,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.647471,-101.6,270,top
C12,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.647471,-96.777543,90,top
C13,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.60171,-93.760048,180,top
C14,4.7u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.932698,-103.372535,270,top
C15,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.392698,-103.372535,270,top
C16,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.255,-101.6,270,top
C17,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.2642,-68.58,180,top
C18,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.985,-73.025,0,top
C19,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.985,-75.565,0,top
C20,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.875,-68.145,90,top
C21,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.335,-68.145,90,top
C22,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.795,-68.145,90,top
C23,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.43,-80.01,270,top
C24,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.685,-80.01,270,top
C25,1n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.2642,-63.462937,180,top
C26,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,171.5516,-64.7586,90,top
C28,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,153.58872,-72.95896,180,top
C29,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,153.60396,-75.57516,180,top
C30,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,125.095,-82.282,90,top
C31,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.015,-77.66,90,top
C32,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.555,-82.282,90,top
C33,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.635,-82.282,90,top
C34,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,117.475,-70.935058,270,top
C35,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.015,-70.935058,270,top
C36,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.555,-70.91959,270,top
C37,1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.43,-84.455,90,top
C38,1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.255,-88.9,90,top
C39,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.43,-88.9,90,top
C40,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.539,-89.154,270,top
C41,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,118.999,-89.154,270,top
FB1,600R/0.5A,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.9,-116.84,180,top
FB2,600R/0.5A,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.024775,-116.84,0,top
FB3,600R/0.5A,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,162.56,-108.159048,90,top
FB4,600R/0.5A,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.24,-80.01,270,top
R1,12k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.225,-111.125,270,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.40171,-91.220048,0,top
R3,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.784945,-111.125,270,top
R4,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.305,-111.125,270,top
R5,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.035,-67.945,90,top
R6,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.2642,-66.021468,180,top
R7,49.9,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.13,-67.89,0,top
R8,24.9,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,122.555,-77.86,270,top
R9,220,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.89096,-74.33056,90,top
R10,0,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,178.48072,-81.3906,90,top
