Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nf","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",161.050000,-114.300000,0.000000,top
"C2","27pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.589000,-107.315000,90.000000,top
"C3","27pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.589000,-112.395000,270.000000,top
"C4","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.516646,-101.600000,270.000000,top
"C5","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.224775,-112.395000,180.000000,top
"C6","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.480000,-108.114048,270.000000,top
"C7","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.385823,-101.600000,270.000000,top
"C8","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.516646,-96.777543,90.000000,top
"C9","4.7u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.224775,-110.112543,180.000000,top
"C10","4.7u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.020000,-108.114048,270.000000,top
"C11","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.647471,-101.600000,270.000000,top
"C12","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.647471,-96.777543,90.000000,top
"C13","10n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.601710,-93.760048,180.000000,top
"C14","4.7u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",121.932698,-103.372535,270.000000,top
"C15","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",119.392698,-103.372535,270.000000,top
"C16","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.255000,-101.600000,270.000000,top
"C17","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.264200,-68.580000,180.000000,top
"C18","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.985000,-73.025000,0.000000,top
"C19","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",133.985000,-75.565000,0.000000,top
"C20","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.875000,-68.145000,90.000000,top
"C21","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.335000,-68.145000,90.000000,top
